model,macro_f1,macro_recall,macro_precision,pr_auc,false_alarm_rate,accuracy,train_time_s,inference_ms_per_flow
DecisionTree,0.6388882271091683,0.7406963600313412,0.5885814919083293,0.6783757847200149,0.0042737613546306496,0.9888460773778215,11.9,0.00023
RandomForest,0.6628772736645359,0.7741568431557861,0.6123203388814039,0.7314592911338491,0.004629472214012392,0.9897596319608203,60.6,0.00316
XGBoost,0.6730944885152106,0.6511127993127561,0.7101527807613082,0.7473713525169992,0.0016006988672178442,0.9923820117830925,253.5,0.01231
LogisticRegression,0.32903983564958716,0.5371551895602396,0.31798558614596206,0.3213752135312293,0.013718407775420903,0.9667949334212493,539.0,0.0006
GaussianNB,0.12126975025343756,0.3234488334930724,0.2280001412457126,0.19485591725156468,0.4479210531133854,0.536196139917302,2.0,0.00339
MLP,0.49466821899440766,0.48383541361789895,0.6200489130168494,0.5599128245612994,0.0031883201293113595,0.9885591759385326,65.6,0.00127
SoftVotingEnsemble,0.6742642194109759,0.7804652203556831,0.6471031762923323,0.7084430902157319,0.004187449160810079,0.9903988685009903,932.7,0.02096
