,LIME,TreeSHAP,Permutation,TOPSIS
LIME,1.0,0.25,0.4286,0.1765
TreeSHAP,0.25,1.0,0.4286,0.1765
Permutation,0.4286,0.4286,1.0,0.3333
TOPSIS,0.1765,0.1765,0.3333,1.0
