instance,true_class,explainer,p_original,comprehensiveness_auc,sufficiency_auc,comp_k1,comp_k2,comp_k3,comp_k4,comp_k5,comp_k6,comp_k7,comp_k8,comp_k9,comp_k10,suff_k1,suff_k2,suff_k3,suff_k4,suff_k5,suff_k6,suff_k7,suff_k8,suff_k9,suff_k10
1571748,Analysis,LIME,0.7947430518670943,0.5330923832871802,0.01587566296884175,0.5716873767074918,0.4022781186893134,0.4022781186893134,0.3273793949443848,0.3273793949443848,0.269131510237725,0.10545475820657503,0.10545475820657503,0.08610701448077085,0.019356240692606986,0.0,0.0,0.0,0.0,0.0,0.0,0.01985092393722289,0.029060749481980938,0.029060749481980938,0.048198305481522284
1571748,Analysis,TreeSHAP,0.7947430518670943,0.7166894375816879,0.0,0.4424733491091443,0.1432780817972973,0.10008274672753459,0.023997541450912072,0.023997541450912072,0.015568960772754166,0.015568960772754166,0.015568960772754166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1571748,Analysis,Random,0.7947430518670943,0.5709112016486196,0.008525032374857924,0.47457861123502687,0.47457861123502687,0.3139167279383877,0.24175920903996953,0.20615611363313474,0.16745241455103518,0.11192182479526604,0.11192182479526604,0.06801658248081702,0.06801658248081702,0.0,0.0,0.0,0.0,0.0,0.009628139085640695,0.009628139085640695,0.009628139085640695,0.019433842605840804,0.019433842605840804
1124981,Analysis,LIME,0.5322635623844623,0.380185333417138,0.29979716810741924,0.42858067771705616,0.2895664574676587,0.1993553298283662,0.14514349670968124,0.12573846627093213,0.09739426559544759,0.07568460290646001,0.05368844226077352,0.05368844226077352,0.051942108656093694,0.057623761725126794,0.13553721372311284,0.1534676038306163,0.19319809563757698,0.15126714694480467,0.141317802304896,0.1264202681109362,0.20291746301661662,0.1936606639244463,0.24030106767815185
1124981,Analysis,TreeSHAP,0.5322635623844623,0.33138225774078556,0.028608174998454403,0.3228519539528466,0.36714946604750714,0.2956182820351626,0.1935820429021635,0.12361816093515904,0.12518908949963228,0.15646838585413161,0.16047438337850792,0.14924531175202718,0.11461597007962884,0.009963765157391908,0.009963765157391908,0.009663041612391829,0.009663041612391829,0.009663041612391829,0.018803141826774634,0.018803141826774634,0.018803141826774634,0.018803141826774634,0.028141668920896635
1124981,Analysis,Random,0.5322635623844623,0.16475092603578015,0.07770052479732739,0.5322635623844623,0.5322635623844623,0.4750049319752383,0.4181588396145839,0.41815883961458383,0.32843483914343713,0.3062070850923397,0.3062070850923397,0.17921380909268692,0.179213809092687,0.002232341854689784,0.002232341854689784,0.004161222122764111,0.004161222122764111,0.004161222122764111,0.07166628301446172,0.06662303745866939,0.06662303745866939,0.09585543663410244,0.09585543663410241
1259370,Analysis,LIME,0.7469643829675248,0.5284857329157234,0.020837546905784165,0.5213056768075802,0.3744376352737466,0.3744376352737466,0.18791392026178694,0.18791392026178694,0.17817772365203402,0.15843659539434032,0.10430824525501793,0.07873200652314871,0.019123141814824704,0.0,0.0,0.0,0.00986700961959464,0.00986700961959464,0.00986700961959464,0.00986700961959464,0.019551993155888913,0.038745733018275205,0.057883289017816544
1259370,Analysis,TreeSHAP,0.7469643829675248,0.6318440075835271,0.0,0.43394930766251866,0.31465193073902475,0.1829054293516821,0.1440979963996531,0.034147712027554074,0.027085560855772278,0.007182908401885648,0.007182908401885648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1259370,Analysis,Random,0.7469643829675248,0.3311425906598048,0.0,0.6873507394083085,0.6292027929146894,0.4813258663513661,0.4323128888844551,0.42209345340792237,0.3629065454075181,0.3629065454075181,0.3629065454075181,0.2245753932780972,0.19263715260980718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1016305,Analysis,LIME,0.9657848723230564,0.6812313185243647,0.009118009116904073,0.6693088448053481,0.44387881562185816,0.41319388544957614,0.32507497677198494,0.26535478922931544,0.20812425360450265,0.20812425360450265,0.12857156082966495,0.10697029482297321,0.07693386324719213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009684983536294272,0.03918768458590118,0.03918768458590118
