model,macro_f1,macro_recall,macro_precision,pr_auc,false_alarm_rate,accuracy,train_time_s,inference_ms_per_flow
DecisionTree,0.9742148995350562,0.9935890258895488,0.9564273682928341,0.967125737464207,0.0036983467291601822,0.9960966304180959,18.9,0.00022
RandomForest,0.9718494200641471,0.9965774819621331,0.9496631856213034,0.9903769449369453,0.004380997716650146,0.9956914450520826,63.1,0.00174
XGBoost,0.9799392323526176,0.9855740046931198,0.9744448382347998,0.9902563880657675,0.002013951189146634,0.9970479351904749,24.0,0.00123
SoftVotingEnsemble,0.9751215038493546,0.9940461411400554,0.9577106653399878,0.9907114763903482,0.003583263804066089,0.9962375644584484,105.9,0.00319
