true_class,n,jaccard5_mean,jaccard5_std,jaccard10_mean,kendall_mean
Reconnaissance,100,0.6175,0.1237,0.6001,0.4509
Generic,100,0.7752,0.0932,0.7038,0.5021
Shellcode,100,0.7811,0.1195,0.5245,0.4682
Fuzzers,100,0.7912,0.0845,0.5312,0.4241
Backdoor,100,0.7992,0.1093,0.65,0.4728
DoS,100,0.8359,0.114,0.679,0.5005
Exploits,100,0.856,0.0646,0.6303,0.4774
Worms,33,0.8593,0.0788,0.6546,0.4955
Analysis,100,0.8806,0.1187,0.7067,0.5416
Benign,100,0.9185,0.0836,0.8073,0.6432
