,LIME,TreeSHAP,Permutation,TOPSIS
LIME,1.0,0.2771,0.1628,-0.0447
TreeSHAP,0.2771,1.0,0.8955,0.1447
Permutation,0.1628,0.8955,1.0,0.0476
TOPSIS,-0.0447,0.1447,0.0476,1.0
