true_class,n,jaccard5_mean,jaccard5_std,jaccard10_mean,kendall_mean
Analysis,100,0.3248,0.1632,0.4212,0.321
Reconnaissance,100,0.4232,0.092,0.4368,0.3526
Shellcode,100,0.4246,0.0936,0.4145,0.3379
Backdoor,100,0.4704,0.2069,0.4861,0.3865
DoS,100,0.5438,0.2236,0.5578,0.4243
Fuzzers,100,0.5565,0.1393,0.5376,0.4275
Worms,33,0.6852,0.1373,0.6509,0.5037
Exploits,100,0.6861,0.1139,0.6509,0.4922
Generic,100,0.7263,0.1817,0.6376,0.5103
Benign,100,0.7545,0.0841,0.8583,0.6124
