,LIME,TreeSHAP,Permutation,TOPSIS
LIME,1.0,0.6757,-0.0567,0.2613
TreeSHAP,0.6757,1.0,0.017,0.2672
Permutation,-0.0567,0.017,1.0,0.0148
TOPSIS,0.2613,0.2672,0.0148,1.0
