model,jaccard@5,unique_top_proba,unique_all_proba,mean_confidence,std_confidence
DecisionTree,0.3373,221,563,0.9972,0.0316
GaussianNB,0.5443,277,586,0.9896,0.0422
LogisticRegression,0.5505,1604,3680,0.9432,0.1371
XGBoost,0.6381,657,1768,0.9922,0.0563
MLP,0.808,727,2065,0.9891,0.0688
RandomForest,0.8684,675,1814,0.9911,0.0595
