,LIME,TreeSHAP,Permutation,TOPSIS
LIME,1.0,0.25,0.0,0.0
TreeSHAP,0.25,1.0,0.25,0.0
Permutation,0.0,0.25,1.0,0.1111
TOPSIS,0.0,0.0,0.1111,1.0
