,LIME,TreeSHAP,Permutation,TOPSIS
LIME,1.0,0.25,0.6667,0.1111
TreeSHAP,0.25,1.0,0.4286,0.0
Permutation,0.6667,0.4286,1.0,0.1111
TOPSIS,0.1111,0.0,0.1111,1.0
