true_class,n,jaccard5_mean,jaccard5_std,jaccard10_mean,kendall_mean
Benign,100,0.2157,0.0238,0.2312,0.0991
Fuzzers,100,0.2562,0.0523,0.254,0.1296
Generic,100,0.2782,0.0937,0.2663,0.1337
Exploits,100,0.2839,0.0652,0.2813,0.1469
DoS,100,0.2914,0.0997,0.2707,0.1383
Shellcode,100,0.3657,0.0786,0.2855,0.1737
Analysis,100,0.4058,0.1136,0.3141,0.1892
Backdoor,100,0.4234,0.1232,0.3198,0.1912
Worms,33,0.4689,0.1476,0.3388,0.2209
Reconnaissance,100,0.472,0.122,0.3223,0.2035
