instance,true_class,explainer,p_original,comprehensiveness_auc,sufficiency_auc,comp_k1,comp_k2,comp_k3,comp_k4,comp_k5,comp_k6,comp_k7,comp_k8,comp_k9,comp_k10,suff_k1,suff_k2,suff_k3,suff_k4,suff_k5,suff_k6,suff_k7,suff_k8,suff_k9,suff_k10
57820,Exploits,LIME,0.9210343956947327,0.920928434092275,0.00876135030509514,0.0007868905,0.00011051014,0.00011074171,1.32846735e-05,9.271027e-06,7.5423295e-06,7.431114e-06,5.6281183e-06,4.3688037e-06,3.9475976e-06,0.00012865497,0.00052065076,0.00051954226,0.005804728,0.006974113,0.009187619,0.010209332,0.016990144,0.015083249,0.01527701
57820,Exploits,TreeSHAP,0.9210343956947327,0.9209384957819566,0.0004693441800668835,0.0007868905,0.0001025021,8.610225e-06,7.925928e-06,8.445637e-06,7.904722e-06,7.535067e-06,9.442709e-06,9.402173e-06,1.034006e-05,0.00012865497,0.00013723648,0.00028107353,0.0003830374,0.0004352516,0.00066648313,0.00062621816,0.00053813297,0.000525756,0.000600977
57820,Exploits,Random,0.9210343956947327,0.39303752293926664,0.00011316261362954835,0.9210344,0.8864461,0.85519135,0.85313815,0.86770517,0.8943975,0.0005084338,0.0005084802,0.0005084802,0.00053065707,2.405772e-07,2.7547193e-07,2.988728e-07,2.9606375e-07,3.0723817e-07,3.5086993e-07,0.0002758628,0.00027587038,0.00027587038,0.00021289398
1078612,Exploits,LIME,0.9631921648979187,0.9631213460141226,0.00815195349902594,0.00053415436,7.754347e-05,1.1004205e-05,1.0568403e-05,1.0568403e-05,1.1320315e-05,1.15139555e-05,1.1393728e-05,1.3858728e-05,1.6263275e-05,0.00012865497,0.00052065076,0.005568848,0.008732444,0.008732444,0.009960854,0.015428259,0.010006038,0.006971269,0.012469516
1078612,Exploits,TreeSHAP,0.9631921648979187,0.9631283113644713,0.0010496080884987039,0.00053415436,6.376993e-05,5.288515e-06,5.28852e-06,4.6003306e-06,5.368469e-06,5.6687795e-06,5.379345e-06,4.47943e-06,4.5376605e-06,0.00012865497,0.00013723648,0.00028107353,0.000373322,0.0012451787,0.0015584676,0.0017131079,0.0017812093,0.001509374,0.0013821181
1078612,Exploits,Random,0.9631921648979187,0.12757262587547302,3.023262952126402e-07,0.94597304,0.91429675,0.8926036,0.9127091,0.9127091,0.8789832,0.85532445,0.8007442,0.6997953,0.54305667,3.7773603e-07,2.5396739e-07,3.1247492e-07,2.7342125e-07,2.7342125e-07,2.7342125e-07,2.523058e-07,2.2083763e-07,3.249261e-07,3.4947152e-07
1609885,Exploits,LIME,0.9950271248817444,0.9948053769869147,0.005186839555858662,0.0018085226,0.0002408611,3.2494816e-05,3.1153395e-05,1.9610716e-05,1.9610716e-05,1.9610716e-05,1.7292972e-05,1.48342515e-05,1.34876445e-05,0.00012865497,0.00052065076,0.0058210506,0.0062839943,0.0062673925,0.0062673925,0.0062673925,0.00804424,0.005795218,0.0062144725
1609885,Exploits,TreeSHAP,0.9950271248817444,0.9948206678876546,0.0007830605306480825,0.0018085226,0.00021343416,1.6309335e-05,9.490231e-06,5.4921925e-06,4.060563e-06,3.4871016e-06,1.5210373e-06,1.1912038e-06,1.0614954e-06,0.00012865497,0.00013723648,0.00028107353,0.00033172563,0.00045823812,0.0009828727,0.0018046247,0.0012913293,0.0012257755,0.0011501338
1609885,Exploits,Random,0.9950271248817444,0.31854955141898245,2.5136028734174945e-07,0.9916317,0.9789002,0.9739967,0.96484625,0.9654614,0.96365124,0.8907722,0.030546853,0.0026507413,0.0023184703,2.1387447e-07,1.6427221e-07,1.38504e-07,1.522911e-07,1.5783976e-07,1.308726e-07,1.1890646e-07,1.5501507e-07,6.347637e-07,6.347637e-07
1767691,Exploits,LIME,0.9962788224220276,0.9960555107858908,0.0029379266619343294,0.001930626,0.00021618273,1.8542047e-05,1.7332546e-05,1.505459e-05,1.1186845e-05,8.02087e-06,6.8322433e-06,4.795181e-06,4.543317e-06,0.00012865497,0.00052065076,0.005568848,0.0037084953,0.003601945,0.0035148845,0.0029457202,0.003395326,0.002126884,0.003758531
1767691,Exploits,TreeSHAP,0.9962788224220276,0.9960542391408126,0.000248355278163913,0.001930626,0.00022881578,6.5232765e-05,4.050522e-06,3.0116844e-06,2.7153096e-06,2.7153105e-06,3.1759794e-06,3.2967048e-06,2.1927585e-06,0.00012865497,0.00012857244,6.917846e-05,0.00014173378,0.00017880976,0.00016602382,0.0004612977,0.00030572052,0.00030869106,0.0005856286
1767691,Exploits,Random,0.9962788224220276,0.45651587480679157,1.8110847700169295e-07,0.97161293,0.82332706,0.82332706,0.8062013,0.591785,0.6648856,0.6577052,0.024713807,0.020176644,0.013894905,2.405772e-07,2.1881921e-07,2.1881921e-07,1.2575768e-07,1.3157342e-07,1.6704303e-07,1.5780886e-07,1.8806094e-07,1.5392669e-07,2.0195918e-07
1355103,Exploits,LIME,0.9872273206710815,0.9870316611122234,0.01111877156397366,0.0014770286,0.00016764653,0.00014672817,0.00010250757,1.1649763e-05,1.2921273e-05,1.4615987e-05,1.1212858e-05,8.418317e-06,3.866527e-06,0.00012865497,0.00052065076,0.0005206533,0.000486217,0.0051980163,0.006384824,0.011015603,0.017494261,0.024384202,0.043634467
1355103,Exploits,TreeSHAP,0.9872273206710815,0.9870524696969823,0.0003751185356304194,0.0014770286,0.00016361367,7.3044364e-05,4.8778156e-06,4.8778156e-06,5.7527313e-06,5.396347e-06,5.3079148e-06,4.3462605e-06,4.264226e-06,0.00012865497,0.00012857244,6.731306e-05,0.00013791221,0.00018321014,0.0005795262,0.0006181679,0.0005140854,0.00056633,0.0007795003
1355103,Exploits,Random,0.9872273206710815,0.44542963765561583,3.0616997691600765e-07,0.9688608,0.9688608,0.9369611,0.70789135,0.5904971,0.55513257,0.5926193,0.045360353,0.030369451,0.021424012,1.8819175e-07,1.3495766e-07,1.520567e-07,1.2137141e-07,1.1094245e-07,1.04088876e-07,9.327638e-08,5.247389e-07,7.040387e-07,8.889311e-07
1770715,Exploits,LIME,0.911217987537384,0.9111292811495332,0.0028006533344189554,0.0004286238,6.79695e-05,8.3714775e-05,6.5181805e-05,6.2074665e-05,7.063887e-05,4.8632384e-05,4.8223617e-05,6.299196e-06,5.7052584e-06,0.00012865497,0.00052065076,0.0008004226,0.0008837575,0.0008837575,0.0010876944,0.0011583576,0.0009487024,0.009211101,0.009896958
1770715,Exploits,TreeSHAP,0.911217987537384,0.9111648272428056,0.00047875539532971637,0.0004286238,6.1746374e-05,4.9531686e-06,6.100664e-06,5.768897e-06,6.564861e-06,6.554009e-06,6.554011e-06,2.5313882e-06,2.205762e-06,0.00012865497,0.00013723648,0.00028107353,0.0004295214,0.0004917039,0.0005774724,0.00067483605,0.0007048445,0.0004297306,0.0005074314
1770715,Exploits,Random,0.911217987537384,0.22107923665425916,4.7656234266611195e-05,0.8978076,0.8978076,0.8917934,0.9004819,0.8720269,0.8504545,0.8597875,0.7311396,5.1794e-05,3.6715046e-05,3.0082805e-07,3.0082805e-07,3.0082805e-07,4.94479e-07,4.3775213e-07,5.4681857e-07,5.353929e-07,5.388048e-07,0.0002081089,0.00022268754
1110130,Exploits,LIME,0.6255900263786316,0.6254963982099071,0.04169352896278357,0.00076629664,9.995009e-05,1.23913405e-05,1.2696438e-05,1.2640562e-05,1.2978007e-05,5.8930923e-06,4.272182e-06,5.02089e-06,4.142445e-06,0.00029742107,0.0009456144,0.009590746,0.017069444,0.015840033,0.014999837,0.04055351,0.04518457,0.05482729,0.061522085
1110130,Exploits,TreeSHAP,0.6255900263786316,0.6254919422405919,0.004070238928660887,0.00076629664,0.00012672553,6.7027504e-05,4.714527e-06,4.640754e-06,2.6366113e-06,2.4385208e-06,2.1282547e-06,2.116521e-06,2.1165208e-06,0.00029742107,0.0001493455,0.0002436616,0.0004987924,0.0005566769,0.0017670183,0.0038054124,0.0058058864,0.0056435643,0.006695229
1110130,Exploits,Random,0.6255900263786316,0.6252678605160327,0.06979003176456094,0.00076629664,0.0007697257,0.00070363446,0.0007294898,7.9231475e-05,8.699218e-05,2.3076085e-05,2.3076085e-05,2.0068106e-05,2.0068106e-05,0.00029742107,0.00023794819,0.0003854682,0.00023980487,0.002629561,0.002676993,0.12764333,0.098329104,0.10207993,0.10207993
1535352,Exploits,LIME,0.8636929392814636,0.8636314470639718,0.012826319896195837,0.00051856774,5.3676908e-05,6.4798023e-06,6.4694377e-06,6.9425246e-06,5.7839643e-06,5.0578697e-06,4.648102e-06,5.13996e-06,2.155863e-06,0.00029742107,0.0009456144,0.009590746,0.009563406,0.009012203,0.014021024,0.018367475,0.016204832,0.014268391,0.018508902
1535352,Exploits,TreeSHAP,0.8636929392814636,0.8636174818448581,0.0014072130107265083,0.00051856774,0.00011713193,9.361852e-05,5.4342463e-06,5.940319e-06,5.4704806e-06,1.7773184e-06,2.2929848e-06,2.1443993e-06,2.1964258e-06,0.00029742107,0.0001493455,0.00029103694,0.0007649592,0.0017139625,0.0015107659,0.0010623666,0.0012005745,0.0019355057,0.0032280623
1535352,Exploits,Random,0.8636929392814636,0.45330922693701725,0.0007282116919922917,0.8395778,0.8666578,0.6791312,0.54014266,0.54014266,0.54014266,0.03274135,0.03274101,0.032554444,5.5565743e-06,4.179645e-07,3.2031818e-07,3.8905634e-07,1.4948957e-06,1.47841e-06,1.47841e-06,5.780623e-06,4.9239666e-06,4.4702138e-06,0.006268759
1592204,Exploits,LIME,0.9145382046699524,0.9144444918664248,0.0166466553545318,0.0007954844,6.9995025e-05,9.442599e-06,9.483775e-06,8.608647e-06,9.596735e-06,1.0038283e-05,7.870147e-06,7.620282e-06,8.988139e-06,0.00029742107,0.0009456144,0.009590746,0.009863563,0.007461955,0.0068101096,0.016204944,0.026534958,0.027762083,0.046768628
1592204,Exploits,TreeSHAP,0.9145382046699524,0.914437019210618,0.002015707873553817,0.0007954844,0.00015642177,8.351581e-06,7.2642956e-06,7.4104228e-06,8.597697e-06,8.045475e-06,6.739938e-06,7.0592932e-06,6.47972e-06,0.00029742107,0.0001493455,0.0002883948,0.0007649592,0.00093209994,0.00077053474,0.0018978338,0.0017926915,0.0038787394,0.007662398
