true_class,n,jaccard5_mean,jaccard5_std,jaccard10_mean,kendall_mean
Shellcode,100,0.7262,0.1087,0.8377,0.771
Reconnaissance,100,0.7869,0.0849,0.8008,0.773
Worms,33,0.795,0.0624,0.749,0.7613
Analysis,100,0.8209,0.1058,0.7991,0.6182
Backdoor,100,0.8364,0.0914,0.8076,0.6224
DoS,100,0.8645,0.0875,0.7497,0.6091
Benign,100,0.9159,0.0562,0.8094,0.5301
Generic,100,0.9445,0.0819,0.8313,0.685
Exploits,100,0.9719,0.0528,0.7149,0.543
Fuzzers,100,0.9723,0.0625,0.8798,0.6857
