,LIME,TreeSHAP,Permutation,TOPSIS
LIME,1.0,0.25,0.1111,0.0526
TreeSHAP,0.25,1.0,0.6667,0.25
Permutation,0.1111,0.6667,1.0,0.25
TOPSIS,0.0526,0.25,0.25,1.0
