true_class,n,jaccard5_mean,jaccard5_std,jaccard10_mean,kendall_mean
Benign,100,0.4446,0.0643,0.3213,0.1901
Analysis,100,0.5677,0.1409,0.3984,0.3764
Exploits,100,0.6035,0.1423,0.4459,0.4704
Reconnaissance,100,0.6382,0.1236,0.4972,0.6738
Backdoor,100,0.6518,0.1409,0.4891,0.5821
Fuzzers,100,0.6528,0.1716,0.5205,0.7034
DoS,100,0.6619,0.2033,0.4662,0.5125
Shellcode,100,0.699,0.1986,0.5286,0.7068
Worms,33,0.7584,0.138,0.5438,0.6743
Generic,100,0.7834,0.2169,0.5162,0.6466
