true_class,n,jaccard5_mean,jaccard5_std,jaccard10_mean,kendall_mean
Analysis,100,0.3093,0.1562,0.3607,0.3351
Backdoor,100,0.4137,0.2017,0.4261,0.4506
DoS,100,0.4687,0.2516,0.4697,0.4377
Fuzzers,100,0.5036,0.2168,0.446,0.5459
Exploits,100,0.5514,0.2198,0.564,0.4582
Generic,100,0.5958,0.2634,0.6271,0.5072
Worms,33,0.6317,0.1965,0.5167,0.5956
Reconnaissance,100,0.6455,0.1402,0.5197,0.7119
Benign,100,0.6782,0.2579,0.7214,0.5162
Shellcode,100,0.7033,0.2047,0.5318,0.7203
