,LIME,TreeSHAP,Permutation,TOPSIS
LIME,1.0,0.3333,0.1111,0.3333
TreeSHAP,0.3333,1.0,0.1765,0.1765
Permutation,0.1111,0.1765,1.0,0.25
TOPSIS,0.3333,0.1765,0.25,1.0
