,LIME,TreeSHAP,Permutation,TOPSIS
LIME,1.0,0.4814,0.563,0.1599
TreeSHAP,0.4814,1.0,0.5783,0.1093
Permutation,0.563,0.5783,1.0,0.0739
TOPSIS,0.1599,0.1093,0.0739,1.0
